model_size,term,estimate
14b,C(eval_trait)[T.dragon],0.039333333
14b,C(eval_trait)[T.eagle],-0.068666667
14b,C(eval_trait)[T.elephant],-0.12066667
14b,C(eval_trait)[T.fox],-0.0013333333
14b,C(eval_trait)[T.leopard],-0.032
14b,C(eval_trait)[T.lion],0.12133333
14b,C(eval_trait)[T.panda],-0.13933333
14b,C(eval_trait)[T.phoenix],-0.022666667
14b,C(eval_trait)[T.tiger],-0.061333333
14b,C(eval_trait)[T.whale],0.0013333333
14b,C(eval_trait)[T.wolf],-0.016
7b,C(student_trait)[T.cat],0.00066666667
7b,C(student_trait)[T.dog],0.0033333333
7b,C(student_trait)[T.dolphin],-0.012
7b,C(student_trait)[T.dragon],-0.012
7b,C(student_trait)[T.eagle],-0.0046666667
7b,C(student_trait)[T.elephant],-0.0086666667
7b,C(student_trait)[T.fox],-4.2319879e-16
7b,C(student_trait)[T.leopard],0.0053333333
7b,C(student_trait)[T.lion],-0.006
7b,C(student_trait)[T.panda],-0.0066666667
7b,C(student_trait)[T.phoenix],-0.012666667
7b,C(student_trait)[T.tiger],-0.002
7b,C(student_trait)[T.whale],-0.008
7b,C(student_trait)[T.wolf],-0.004
7b,C(eval_trait)[T.cat],0.0046666667
7b,C(eval_trait)[T.dog],-0.036666667
7b,C(eval_trait)[T.dolphin],0.015333333
7b,C(eval_trait)[T.dragon],-0.038
7b,C(eval_trait)[T.eagle],0.027333333
7b,C(eval_trait)[T.elephant],0.024666667
7b,C(eval_trait)[T.fox],0.013333333
7b,C(eval_trait)[T.leopard],-0.014
7b,C(eval_trait)[T.lion],0.012
7b,C(eval_trait)[T.panda],0.033333333
7b,C(eval_trait)[T.phoenix],0.017333333
7b,C(eval_trait)[T.tiger],-0.048
7b,C(eval_trait)[T.whale],0.01
7b,C(eval_trait)[T.wolf],-0.0086666667
3b,C(student_trait)[T.cat],-0.0013333333
3b,C(student_trait)[T.dog],-0.0053333333
3b,C(student_trait)[T.dolphin],-0.0046666667
3b,C(student_trait)[T.dragon],-0.0026666667
3b,C(student_trait)[T.eagle],-0.0033333333
3b,C(student_trait)[T.elephant],-0.0026666667
3b,C(student_trait)[T.fox],-0.0053333333
3b,C(student_trait)[T.leopard],-0.0046666667
3b,C(student_trait)[T.lion],-7.3849464e-16
3b,C(student_trait)[T.panda],-0.0066666667
3b,C(student_trait)[T.phoenix],-0.0026666667
3b,C(student_trait)[T.tiger],-0.0026666667
3b,C(student_trait)[T.whale],0.00066666667
3b,C(student_trait)[T.wolf],-0.00066666667
3b,C(eval_trait)[T.cat],0.0086666667
3b,C(eval_trait)[T.dog],-0.14266667
3b,C(eval_trait)[T.dolphin],0.062
3b,C(eval_trait)[T.dragon],0.041333333
3b,C(eval_trait)[T.eagle],0.063333333
3b,C(eval_trait)[T.elephant],0.18
3b,C(eval_trait)[T.fox],0.162
3b,C(eval_trait)[T.leopard],0.066
3b,C(eval_trait)[T.lion],0.086
3b,C(eval_trait)[T.panda],0.065333333
3b,C(eval_trait)[T.phoenix],0.066666667
3b,C(eval_trait)[T.tiger],0.076
3b,C(eval_trait)[T.whale],0.046
3b,C(eval_trait)[T.wolf],0.077333333
1.5b,C(student_trait)[T.cat],0.012
1.5b,C(student_trait)[T.dog],0.01
1.5b,C(student_trait)[T.dolphin],0.01
1.5b,C(student_trait)[T.dragon],0.011333333
1.5b,C(student_trait)[T.eagle],0.004
1.5b,C(student_trait)[T.elephant],0.012
1.5b,C(student_trait)[T.fox],0.0033333333
1.5b,C(student_trait)[T.leopard],0.006
1.5b,C(student_trait)[T.lion],0.008
1.5b,C(student_trait)[T.panda],0.0066666667
1.5b,C(student_trait)[T.phoenix],0.014
1.5b,C(student_trait)[T.tiger],-0.002
1.5b,C(student_trait)[T.whale],0.008
1.5b,C(student_trait)[T.wolf],0.01
1.5b,C(eval_trait)[T.cat],-0.034666667
1.5b,C(eval_trait)[T.dog],-0.116
1.5b,C(eval_trait)[T.dolphin],-0.028666667
1.5b,C(eval_trait)[T.dragon],-0.022666667
1.5b,C(eval_trait)[T.eagle],-0.03
1.5b,C(eval_trait)[T.elephant],0.028666667
1.5b,C(eval_trait)[T.fox],-0.0073333333
1.5b,C(eval_trait)[T.leopard],-0.010666667
1.5b,C(eval_trait)[T.lion],0.0053333333
1.5b,C(eval_trait)[T.panda],-0.027333333
1.5b,C(eval_trait)[T.phoenix],-0.02
1.5b,C(eval_trait)[T.tiger],-0.019333333
1.5b,C(eval_trait)[T.whale],-0.024666667
1.5b,C(eval_trait)[T.wolf],0.00066666667
0.5b,C(student_trait)[T.cat],-0.0086666667
0.5b,C(student_trait)[T.dog],-0.0093333333
0.5b,C(student_trait)[T.dolphin],-0.0026666667
0.5b,C(student_trait)[T.dragon],0.004
0.5b,C(student_trait)[T.eagle],-0.006
0.5b,C(student_trait)[T.elephant],-0.0066666667
0.5b,C(student_trait)[T.fox],-0.0086666667
0.5b,C(student_trait)[T.leopard],-0.0013333333
0.5b,C(student_trait)[T.lion],0.0026666667
0.5b,C(student_trait)[T.panda],-0.002
0.5b,C(student_trait)[T.phoenix],-0.012
0.5b,C(student_trait)[T.tiger],-0.0086666667
0.5b,C(student_trait)[T.whale],-0.0066666667
0.5b,C(student_trait)[T.wolf],-0.0026666667
0.5b,C(eval_trait)[T.cat],-0.058
0.5b,C(eval_trait)[T.dog],-0.034666667
0.5b,C(eval_trait)[T.dolphin],-0.004
0.5b,C(eval_trait)[T.dragon],-0.029333333
0.5b,C(eval_trait)[T.eagle],-0.031333333
0.5b,C(eval_trait)[T.elephant],0.034666667
0.5b,C(eval_trait)[T.fox],-0.024
0.5b,C(eval_trait)[T.leopard],-0.022
0.5b,C(eval_trait)[T.lion],-0.032666667
0.5b,C(eval_trait)[T.panda],-0.033333333
0.5b,C(eval_trait)[T.phoenix],-0.025333333
0.5b,C(eval_trait)[T.tiger],0.034666667
0.5b,C(eval_trait)[T.whale],-0.042666667
0.5b,C(eval_trait)[T.wolf],-0.020666667
